season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
2,1,5,12,0,3,1,1,0.7,0.6515,0.54,0.0,253
4,1,12,1,0,6,0,2,0.36,0.3485,0.93,0.1343,100
1,1,1,5,0,3,1,1,0.2,0.2121,0.8,0.1343,22
2,1,4,7,0,1,1,1,0.4,0.4091,0.5,0.194,349
3,1,9,19,0,3,1,1,0.74,0.697,0.7,0.1642,662
2,1,5,4,0,2,1,3,0.56,0.5303,0.94,0.0,5
3,1,9,6,0,2,1,2,0.68,0.6364,0.89,0.1045,172
1,0,1,23,0,5,1,1,0.06,0.0455,0.38,0.3284,27
3,0,9,2,0,4,1,2,0.6,0.5152,0.94,0.1045,10
3,0,9,14,0,6,0,1,0.74,0.6818,0.55,0.2836,359
2,0,4,20,0,6,0,3,0.44,0.4394,0.94,0.2239,53
2,1,4,4,0,0,0,2,0.36,0.3485,0.87,0.1343,4
1,1,3,22,0,2,1,1,0.56,0.5303,0.6,0.0896,170
1,1,1,16,0,1,1,3,0.22,0.2576,0.87,0.0896,49
4,1,10,22,0,6,0,2,0.52,0.5,0.72,0.2537,157
1,1,2,9,0,0,0,2,0.24,0.2273,0.56,0.2537,93
1,1,2,6,0,6,0,3,0.22,0.2273,0.93,0.1343,9
4,0,11,3,0,3,1,3,0.5,0.4848,0.94,0.3582,3
4,0,11,5,0,3,1,2,0.46,0.4545,0.94,0.194,17
4,1,12,11,0,6,0,2,0.32,0.3333,0.76,0.1045,392
2,1,3,19,0,3,1,1,0.6,0.6061,0.64,0.0,582
4,0,10,17,0,2,1,1,0.6,0.6061,0.6,0.1343,625
3,0,7,23,0,1,1,1,0.74,0.697,0.66,0.1642,91
1,0,3,3,0,4,1,1,0.2,0.1667,0.27,0.4627,1
3,0,9,19,0,6,0,1,0.52,0.5,0.68,0.1343,256
4,0,10,22,0,2,1,1,0.5,0.4848,0.72,0.1343,114
3,1,7,20,0,6,0,1,0.9,0.8182,0.37,0.1642,276
4,0,11,5,0,0,0,2,0.42,0.4242,0.67,0.2836,4
1,1,3,9,0,5,1,1,0.3,0.3333,0.81,0.0,314
4,1,10,5,0,2,1,2,0.38,0.3939,0.82,0.194,19
3,0,7,12,1,1,0,2,0.78,0.7121,0.52,0.0,447
4,0,11,14,0,6,0,1,0.42,0.4242,0.32,0.2985,349
1,0,3,16,0,5,1,1,0.68,0.6364,0.39,0.2836,204
1,0,1,9,0,1,1,2,0.16,0.1364,0.59,0.2985,112
3,1,7,11,0,5,1,3,0.72,0.697,0.74,0.194,212
3,1,9,6,0,4,1,2,0.7,0.6667,0.84,0.0896,200
4,0,12,12,0,1,1,2,0.4,0.4091,0.76,0.1045,154
1,1,1,12,0,4,1,2,0.34,0.3333,0.81,0.1343,165
3,1,9,13,0,0,0,3,0.72,0.697,0.74,0.0896,493
4,0,11,8,0,6,0,1,0.32,0.3333,0.76,0.0896,60
2,0,6,5,0,3,1,2,0.66,0.5909,0.89,0.0896,21
4,0,10,2,1,1,0,1,0.48,0.4697,0.88,0.0,19
3,0,8,13,0,6,0,2,0.8,0.7727,0.59,0.3284,441
3,1,8,1,0,3,1,1,0.7,0.6515,0.61,0.0,37
1,1,1,10,0,5,1,1,0.24,0.197,0.44,0.4478,103
3,0,8,8,0,5,1,1,0.68,0.6364,0.39,0.2239,426
4,1,10,14,0,0,0,1,0.66,0.6212,0.39,0.4179,617
3,1,7,23,0,1,1,2,0.7,0.6515,0.65,0.1045,131
2,1,6,4,0,0,0,1,0.5,0.4848,0.72,0.0896,13
1,0,3,16,0,6,0,1,0.46,0.4545,0.41,0.4478,244
2,1,4,4,0,1,1,1,0.44,0.4394,0.24,0.194,5
3,1,7,4,0,2,1,1,0.68,0.6364,0.65,0.1045,6
1,0,3,13,0,6,0,1,0.36,0.3333,0.51,0.3582,157
2,0,5,15,0,2,1,3,0.74,0.6818,0.55,0.4179,188
2,1,5,0,0,4,1,1,0.6,0.5606,0.83,0.0896,56
3,1,8,14,0,4,1,1,0.78,0.697,0.46,0.2239,305
4,1,12,1,0,4,1,2,0.28,0.2576,0.52,0.2836,23
3,1,7,6,0,0,0,2,0.62,0.5758,0.83,0.0896,19
3,1,8,7,0,1,1,1,0.66,0.6061,0.83,0.0,433
4,0,10,10,0,0,0,1,0.42,0.4242,0.71,0.0896,289
1,0,12,10,0,5,1,1,0.3,0.2879,0.65,0.2537,118
3,1,7,23,0,0,0,1,0.72,0.697,0.79,0.1343,91
1,0,12,13,0,0,0,1,0.32,0.303,0.7,0.2537,79
3,1,7,21,0,3,1,1,0.76,0.7121,0.62,0.0,319
3,0,7,5,0,4,1,1,0.6,0.6212,0.56,0.2239,28
2,0,5,5,0,4,1,1,0.42,0.4242,0.94,0.1343,29
4,0,11,12,0,2,1,1,0.5,0.4848,0.48,0.0896,176
2,1,5,2,0,1,1,1,0.5,0.4848,0.77,0.194,6
1,1,2,17,0,3,1,1,0.52,0.5,0.32,0.3881,529
4,1,10,21,0,6,0,2,0.52,0.5,0.72,0.2239,209
2,0,4,5,0,4,1,2,0.62,0.5758,0.83,0.3881,13
3,1,6,1,0,1,1,1,0.7,0.6515,0.65,0.2239,31
2,0,5,3,0,4,1,1,0.34,0.3182,0.66,0.2537,4
4,1,11,0,0,2,1,2,0.52,0.5,0.83,0.2836,23
2,1,5,9,0,5,1,1,0.6,0.5758,0.78,0.0,294
4,1,10,15,0,2,1,3,0.3,0.2879,0.87,0.2537,124
4,1,12,1,0,1,1,2,0.38,0.3939,0.87,0.1045,15
4,0,10,13,0,5,1,1,0.56,0.5303,0.73,0.3582,132
1,0,12,17,0,4,1,1,0.3,0.303,0.61,0.1642,240
2,0,4,18,0,0,0,2,0.46,0.4545,0.31,0.0,172
4,0,10,7,0,6,0,1,0.4,0.4091,0.76,0.1045,57
3,0,9,23,0,3,1,2,0.64,0.6061,0.69,0.1045,72
4,0,10,18,0,3,1,3,0.56,0.5303,1.0,0.1642,140
4,0,11,9,0,3,1,1,0.34,0.3636,0.93,0.0,219
1,0,1,15,0,5,1,1,0.16,0.1212,0.26,0.4478,65
3,1,9,3,0,2,1,2,0.62,0.5455,0.94,0.2836,6
2,0,6,3,0,3,1,1,0.5,0.4848,0.68,0.2537,1
4,0,11,10,0,5,1,2,0.42,0.4242,0.71,0.3284,134
4,0,12,16,0,1,1,1,0.4,0.4091,0.4,0.2537,208
3,1,9,2,0,2,1,3,0.6,0.5152,0.94,0.194,4
3,1,6,17,0,6,0,1,0.82,0.7121,0.26,0.2537,530
3,1,8,18,0,0,0,2,0.64,0.5758,0.89,0.0896,264
1,0,2,3,0,1,1,1,0.2,0.2576,0.86,0.0,1
1,0,2,20,0,6,0,1,0.26,0.2576,0.41,0.2239,40
2,1,6,22,0,1,1,1,0.56,0.5303,0.52,0.2836,168
2,0,4,16,0,0,0,2,0.46,0.4545,0.31,0.194,303
3,0,6,0,0,6,0,1,0.68,0.6364,0.47,0.1642,116
4,0,12,15,0,4,1,3,0.52,0.5,0.55,0.2239,82
4,0,12,18,0,0,0,1,0.24,0.2273,0.48,0.194,163
4,0,12,15,0,4,1,1,0.32,0.3333,0.45,0.1343,117
1,1,1,10,0,6,0,3,0.16,0.1515,0.93,0.2537,45
2,1,6,12,0,5,1,1,0.7,0.6364,0.45,0.1642,403
4,0,11,11,0,4,1,1,0.44,0.4394,0.67,0.194,120
1,1,3,2,0,4,1,2,0.46,0.4545,0.94,0.2836,6
3,0,7,0,0,6,0,1,0.82,0.7879,0.56,0.0,101
1,1,2,17,0,2,1,1,0.38,0.3939,0.4,0.4478,432
3,1,8,15,0,5,1,1,0.8,0.7424,0.52,0.4478,324
1,1,2,17,0,5,1,3,0.42,0.4242,0.94,0.1045,256
2,0,5,3,0,4,1,1,0.48,0.4697,1.0,0.0,4
1,0,3,13,0,2,1,2,0.38,0.3939,0.25,0.1045,98
2,0,4,9,1,5,0,1,0.5,0.4848,0.55,0.194,178
4,0,11,7,0,3,1,3,0.46,0.4545,0.94,0.0,137
1,0,3,7,0,6,0,2,0.3,0.2727,1.0,0.2985,15
1,1,1,6,0,5,1,2,0.22,0.2424,0.73,0.1045,70
2,1,5,13,0,0,0,1,0.68,0.6364,0.54,0.2537,602
3,0,6,5,0,5,1,1,0.64,0.5758,0.89,0.0896,20
2,0,3,16,0,5,1,2,0.34,0.303,0.34,0.2985,150
4,0,10,16,0,6,0,3,0.22,0.197,0.93,0.3284,22
3,0,6,9,0,1,1,2,0.72,0.6667,0.54,0.0,187
2,1,6,21,0,5,1,1,0.66,0.6212,0.5,0.1045,333
1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,137
1,0,3,20,0,5,1,1,0.62,0.6212,0.46,0.1343,149
1,1,2,21,0,1,1,1,0.32,0.3182,0.57,0.1642,154
1,0,2,13,0,0,0,1,0.42,0.4242,0.47,0.0,259
2,0,3,21,0,6,0,2,0.26,0.2576,0.44,0.194,51
3,0,9,0,0,4,1,1,0.6,0.5152,0.94,0.1045,41
3,0,9,12,0,2,1,2,0.56,0.5303,0.94,0.1642,60
1,0,3,0,0,0,0,1,0.34,0.303,0.49,0.4179,40
1,1,1,23,0,2,1,1,0.32,0.3485,0.76,0.0,99
3,1,8,6,0,0,0,1,0.62,0.5606,0.88,0.2985,21
2,0,3,16,0,4,1,2,0.3,0.2879,0.65,0.2239,84
3,0,7,16,1,1,0,1,0.82,0.7424,0.41,0.0,452
4,0,9,3,0,0,0,3,0.6,0.5152,0.94,0.0,59
2,0,5,7,0,5,1,1,0.5,0.4848,0.77,0.1642,319
3,0,7,11,1,1,0,2,0.76,0.697,0.55,0.0896,349
2,1,6,14,0,6,0,1,0.64,0.6212,0.38,0.2985,647
3,0,9,15,0,5,1,2,0.54,0.5152,0.45,0.2239,203
2,0,4,0,0,2,1,2,0.62,0.6212,0.5,0.1045,24
4,0,11,5,0,5,1,1,0.28,0.3182,0.75,0.0,5
3,1,6,1,0,3,1,1,0.6,0.6212,0.43,0.1642,23
1,0,3,19,0,4,1,1,0.44,0.4394,0.58,0.194,207
3,0,7,20,0,5,1,1,0.66,0.6061,0.83,0.1642,250
4,1,11,23,0,0,0,1,0.22,0.2576,0.69,0.0896,41
3,1,8,14,0,0,0,3,0.64,0.6061,0.73,0.0,149
4,0,10,16,0,6,0,1,0.64,0.6212,0.44,0.0896,451
3,1,8,11,0,3,1,1,0.76,0.7121,0.58,0.0896,234
4,0,12,2,0,5,1,1,0.24,0.2879,0.75,0.0,10
2,0,4,20,0,3,1,1,0.44,0.4394,0.62,0.2537,126
3,0,8,3,0,2,1,1,0.66,0.6212,0.74,0.194,5
2,0,4,8,0,6,0,3,0.4,0.4091,0.87,0.3582,45
4,1,10,9,0,0,0,2,0.5,0.4848,0.55,0.4179,330
3,0,7,23,0,2,1,1,0.76,0.7121,0.58,0.1045,89
3,1,8,4,0,1,1,1,0.64,0.6061,0.69,0.1045,11
1,1,3,23,0,0,0,1,0.48,0.4697,0.82,0.1642,46
2,1,5,15,0,0,0,2,0.7,0.6364,0.39,0.4179,502
1,1,3,15,0,6,0,1,0.64,0.6212,0.53,0.1343,679
1,0,2,19,0,5,1,2,0.24,0.2424,0.65,0.1343,103
3,0,8,11,0,2,1,1,0.8,0.7727,0.59,0.2239,149
1,0,2,14,0,1,1,2,0.36,0.3636,0.57,0.0896,60
2,1,5,3,0,0,0,2,0.54,0.5152,0.64,0.1343,28
4,0,10,10,0,3,1,2,0.54,0.5152,0.88,0.3881,113
2,0,3,21,0,4,1,1,0.26,0.2576,0.65,0.2239,78
4,1,10,17,0,3,1,1,0.66,0.6212,0.47,0.0,963
2,1,6,20,0,6,0,2,0.66,0.6212,0.47,0.194,352
3,0,8,22,0,6,0,2,0.68,0.6364,0.83,0.3881,154
1,1,3,15,0,0,0,1,0.5,0.4848,0.29,0.2985,487
4,0,10,20,0,6,0,1,0.24,0.2121,0.87,0.3582,47
2,0,6,3,0,4,1,1,0.66,0.6212,0.44,0.1045,4
3,0,8,13,0,3,1,1,0.74,0.6515,0.37,0.1045,221
2,1,4,10,0,5,1,1,0.44,0.4394,0.38,0.4179,236
1,0,3,21,0,2,1,1,0.3,0.2879,0.49,0.194,75
4,0,10,10,0,4,1,1,0.46,0.4545,0.59,0.4478,130
2,1,6,2,0,1,1,1,0.66,0.6212,0.74,0.1045,17
3,1,8,20,0,5,1,2,0.7,0.6515,0.65,0.2239,363
2,0,5,7,0,4,1,2,0.62,0.5455,0.94,0.2537,286
3,1,7,3,0,6,0,1,0.74,0.7121,0.74,0.1343,31
4,0,11,20,0,3,1,1,0.4,0.4091,0.66,0.1343,182
3,0,7,6,0,0,0,2,0.8,0.7879,0.63,0.0896,22
1,0,1,17,0,6,0,1,0.24,0.2879,0.6,0.0,91
2,1,5,10,0,3,1,2,0.58,0.5455,0.83,0.1045,175
2,0,4,1,0,2,1,2,0.62,0.6212,0.5,0.0896,13
2,1,6,10,0,0,0,1,0.62,0.6212,0.43,0.2239,404
4,0,12,19,0,2,1,1,0.38,0.3939,0.66,0.0,224
3,1,6,12,0,4,1,1,0.9,0.8182,0.35,0.194,215
4,0,10,9,0,2,1,1,0.48,0.4697,0.55,0.2239,223
3,1,9,8,0,4,1,1,0.56,0.5303,0.73,0.0,758
3,0,8,11,0,0,0,1,0.7,0.6515,0.58,0.3881,237
2,0,6,12,0,5,1,1,0.7,0.6515,0.65,0.2537,243
2,1,4,14,0,2,1,1,0.56,0.5303,0.21,0.2239,311
4,0,11,8,1,4,0,1,0.3,0.3182,0.65,0.0896,46
2,0,5,11,0,5,1,2,0.74,0.6818,0.55,0.3284,166
4,0,12,15,0,0,0,1,0.3,0.3333,0.26,0.0,266
1,1,2,2,0,6,0,1,0.24,0.2576,0.7,0.0896,44
1,1,3,19,0,4,1,2,0.6,0.6212,0.4,0.4478,416
2,1,6,4,0,0,0,1,0.62,0.5909,0.78,0.0896,10
3,1,7,7,0,4,1,1,0.7,0.6667,0.74,0.2537,495
4,1,12,6,0,4,1,1,0.26,0.2424,0.56,0.2537,114
3,1,9,13,1,1,0,2,0.76,0.7273,0.66,0.2537,566
3,1,6,13,0,4,1,1,0.9,0.8182,0.35,0.0,172
3,1,7,2,0,6,0,1,0.72,0.6818,0.7,0.0,90
3,1,7,2,0,6,0,3,0.6,0.5455,0.88,0.2836,60
3,1,7,5,0,1,1,1,0.66,0.6061,0.83,0.1045,47
1,0,12,17,0,5,1,1,0.36,0.3485,0.53,0.2239,140
2,1,6,5,0,0,0,1,0.5,0.4848,0.68,0.0,12
3,1,6,21,0,5,1,3,0.68,0.6364,0.65,0.2836,217
1,0,2,16,0,2,1,1,0.22,0.1818,0.35,0.5224,83
3,0,7,20,0,4,1,1,0.7,0.6364,0.42,0.2239,348
3,1,8,6,0,4,1,1,0.6,0.5606,0.83,0.1642,163
4,0,9,13,0,0,0,2,0.68,0.6364,0.74,0.0,369
3,0,8,13,0,1,1,2,0.7,0.6364,0.39,0.0,218
3,1,8,23,0,6,0,1,0.64,0.6061,0.65,0.0896,235
2,1,6,18,0,1,1,1,0.64,0.6212,0.38,0.3881,822
1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,30
2,0,4,21,0,5,1,1,0.46,0.4545,0.51,0.194,195
2,0,3,5,0,6,0,1,0.2,0.197,0.51,0.194,8
3,0,7,4,0,2,1,1,0.7,0.6667,0.79,0.1642,6
3,1,8,17,0,2,1,1,0.74,0.6667,0.51,0.2836,878
4,0,11,22,0,6,0,2,0.38,0.3939,0.76,0.0,65
2,1,4,6,0,6,0,1,0.34,0.3333,0.49,0.194,28
2,0,5,4,0,3,1,3,0.52,0.5,0.94,0.2985,3
1,0,12,5,1,1,0,1,0.34,0.303,0.42,0.3881,4
2,0,5,5,0,2,1,2,0.58,0.5455,0.94,0.2537,24
3,0,9,5,1,1,0,2,0.66,0.6212,0.74,0.1642,6
2,0,4,5,0,4,1,1,0.34,0.3485,0.76,0.0896,14
2,0,5,14,0,2,1,1,0.9,0.8182,0.37,0.0,140
1,1,1,1,0,6,0,1,0.3,0.303,0.52,0.1642,58
4,1,10,8,0,2,1,2,0.42,0.4242,0.8,0.194,713
2,1,6,12,0,1,1,2,0.8,0.7273,0.43,0.194,261
1,1,1,23,0,3,1,3,0.34,0.3182,0.87,0.2239,9
1,0,3,21,0,6,0,1,0.38,0.3939,0.62,0.0,82
1,1,1,6,0,1,1,2,0.2,0.2576,0.86,0.0,42
1,0,2,0,0,2,1,1,0.3,0.2727,0.49,0.4179,19
1,1,2,11,0,0,0,2,0.26,0.2273,0.56,0.3284,226
2,1,5,18,0,4,1,1,0.56,0.5303,0.35,0.5224,770
3,0,8,20,0,2,1,1,0.74,0.6667,0.51,0.0,280
2,0,5,14,0,1,1,1,0.62,0.6212,0.41,0.2239,162
1,1,2,2,0,5,1,1,0.3,0.2879,0.52,0.2239,6
4,0,10,19,0,0,0,1,0.56,0.5303,0.49,0.2985,153
2,1,4,12,0,6,0,1,0.58,0.5455,0.35,0.2537,678
2,1,3,22,0,4,1,1,0.56,0.5303,0.83,0.194,220
1,1,1,16,0,4,1,1,0.26,0.2273,0.41,0.3284,193
1,0,1,0,0,5,1,2,0.24,0.2273,0.7,0.2537,21
3,1,9,22,0,2,1,1,0.56,0.5303,0.64,0.1045,216
2,0,4,14,0,1,1,2,0.72,0.6667,0.54,0.3582,145
2,1,4,17,0,4,1,1,0.5,0.4848,0.27,0.3881,656
4,1,12,13,0,5,1,2,0.36,0.3485,0.66,0.1343,220
3,1,7,8,0,3,1,2,0.68,0.6364,0.79,0.1642,674
2,1,4,13,0,6,0,1,0.62,0.6212,0.33,0.2985,678
2,0,3,23,0,4,1,1,0.24,0.2273,0.65,0.194,33
4,1,10,14,0,1,1,1,0.62,0.6061,0.27,0.194,282
4,0,10,23,1,1,0,2,0.54,0.5152,0.88,0.1045,75
2,0,3,8,0,0,0,1,0.2,0.197,0.69,0.2239,14
1,1,3,8,0,1,1,1,0.34,0.3333,0.61,0.1343,564
2,0,4,5,0,6,0,2,0.24,0.2424,0.75,0.1642,5
1,0,2,16,0,3,1,1,0.36,0.3333,0.71,0.2985,103
4,1,10,7,0,0,0,3,0.42,0.4242,0.58,0.1642,35
2,0,4,15,0,5,1,3,0.34,0.3333,0.87,0.194,75
4,0,10,10,1,1,0,1,0.56,0.5303,0.73,0.1642,265
2,0,5,1,0,2,1,1,0.68,0.6364,0.89,0.0896,17
2,1,5,11,0,0,0,1,0.66,0.6212,0.36,0.3284,581
3,0,9,7,0,1,1,1,0.58,0.5455,0.83,0.0,312
2,1,3,8,0,5,1,2,0.5,0.4848,0.94,0.1343,662
3,0,9,16,0,6,0,1,0.54,0.5152,0.68,0.2537,305
4,0,11,4,0,4,1,1,0.32,0.3333,0.81,0.0896,4
3,0,9,2,0,6,0,1,0.46,0.4545,0.82,0.0896,79
4,0,11,4,0,6,0,1,0.2,0.2121,0.8,0.1343,7
4,0,12,23,0,0,0,1,0.34,0.3485,0.87,0.1045,45
4,1,12,14,0,3,1,1,0.48,0.4697,0.33,0.4925,218
2,0,5,16,0,2,1,1,0.62,0.6061,0.61,0.3284,290
2,1,6,20,0,0,0,1,0.66,0.6212,0.39,0.194,314
2,0,6,11,0,6,0,1,0.66,0.6212,0.36,0.1343,369
4,1,10,13,0,1,1,2,0.6,0.6212,0.43,0.1642,305
1,0,3,23,0,4,1,2,0.18,0.2121,0.43,0.0896,23
1,1,2,6,0,0,0,1,0.1,0.0758,0.49,0.3881,2
2,0,5,8,0,4,1,2,0.52,0.5,0.88,0.0,487
2,0,6,12,0,3,1,1,0.86,0.8333,0.53,0.0,169
2,0,6,2,0,5,1,1,0.68,0.6364,0.69,0.1642,13
2,0,5,15,0,4,1,2,0.82,0.7576,0.46,0.2836,141
2,1,3,13,0,5,1,3,0.4,0.4091,0.5,0.0,242
4,0,12,17,0,5,1,1,0.34,0.3485,0.66,0.1045,362
1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,3
3,0,8,23,0,2,1,1,0.76,0.6818,0.48,0.2836,75
2,0,5,5,0,2,1,1,0.66,0.6061,0.83,0.0896,26
1,1,12,7,0,6,0,2,0.26,0.2424,0.7,0.1343,18
4,0,11,19,0,1,1,1,0.6,0.6212,0.53,0.2985,302
4,0,11,17,0,1,1,3,0.42,0.4242,0.94,0.2985,210
4,1,11,5,0,5,1,2,0.3,0.3182,0.65,0.0896,36
2,1,3,10,0,2,1,1,0.26,0.2576,0.35,0.2239,138
4,1,12,6,0,1,1,1,0.36,0.3788,0.93,0.0,138
4,0,12,19,0,0,0,1,0.22,0.2273,0.55,0.194,105
4,0,10,11,0,1,1,2,0.5,0.4848,0.72,0.1642,168
4,1,12,14,0,6,0,1,0.4,0.4091,0.5,0.1642,426
2,0,5,22,0,1,1,2,0.6,0.5909,0.73,0.0,125
4,0,12,5,0,3,1,2,0.26,0.303,0.81,0.0,26
2,0,6,20,0,3,1,1,0.8,0.7879,0.63,0.1343,280
1,0,1,9,0,0,0,1,0.1,0.0758,0.54,0.3582,28
3,0,8,11,0,5,1,2,0.72,0.6818,0.66,0.0896,165
2,1,6,8,0,1,1,1,0.66,0.6212,0.74,0.1343,651
1,0,2,13,0,0,0,1,0.38,0.3939,0.29,0.3582,154
1,1,2,18,0,6,0,3,0.28,0.2727,0.75,0.1642,64
1,1,1,13,0,2,1,1,0.34,0.3333,0.87,0.1642,203
1,1,2,17,0,4,1,1,0.42,0.4242,0.54,0.4925,450
3,0,7,6,0,1,1,1,0.64,0.5758,0.83,0.1045,105
3,0,9,5,0,5,1,1,0.38,0.3939,0.76,0.194,32
4,1,11,21,0,0,0,1,0.36,0.3333,0.66,0.2537,110
2,0,4,23,0,6,0,2,0.54,0.5152,0.88,0.1642,117
2,1,6,22,0,3,1,1,0.52,0.5,0.77,0.0896,248
4,1,11,16,0,5,1,1,0.46,0.4545,0.38,0.1642,434
1,1,3,2,0,6,0,1,0.26,0.2424,0.41,0.2537,42
3,1,8,10,0,4,1,1,0.72,0.6667,0.54,0.0,234
4,0,11,5,0,0,0,1,0.24,0.2424,0.87,0.1343,5
1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,77
2,1,3,11,0,6,0,1,0.46,0.4545,0.72,0.1343,463
3,1,7,23,0,6,0,2,0.6,0.5455,0.88,0.0,149
4,0,12,13,0,4,1,1,0.3,0.2727,0.49,0.3582,124
4,1,11,23,0,2,1,1,0.3,0.2879,0.56,0.2239,205
3,1,8,6,0,6,0,1,0.6,0.5606,0.83,0.2239,27
4,1,10,0,0,5,1,1,0.4,0.4091,0.66,0.1045,68
4,1,12,18,0,1,1,1,0.5,0.4848,0.68,0.0896,692
1,1,3,14,0,1,1,2,0.28,0.2576,0.57,0.3582,128
1,0,3,8,0,3,1,2,0.24,0.2424,0.87,0.1343,249
3,0,7,0,0,2,1,1,0.74,0.697,0.66,0.1045,51
3,1,8,6,0,4,1,1,0.66,0.6061,0.83,0.1642,167
3,1,9,19,0,2,1,1,0.76,0.7273,0.7,0.2239,552
2,0,4,8,0,1,1,2,0.46,0.4545,0.55,0.2985,339
3,0,8,23,0,3,1,1,0.74,0.6515,0.37,0.0896,108
3,0,6,20,0,2,1,3,0.74,0.697,0.7,0.2239,326
2,1,5,21,0,2,1,1,0.64,0.6061,0.65,0.1343,282
1,1,2,7,0,3,1,3,0.38,0.3939,0.62,0.0896,208
2,1,6,12,0,3,1,1,0.86,0.803,0.47,0.1642,180
1,1,2,19,1,1,0,1,0.34,0.3182,0.34,0.2239,172
3,0,7,18,0,6,0,1,0.92,0.8788,0.4,0.2239,196
3,1,8,14,0,3,1,2,0.76,0.697,0.52,0.2985,255
2,1,4,19,0,5,1,1,0.48,0.4697,0.23,0.2985,412
2,0,5,5,0,1,1,1,0.42,0.4242,0.77,0.1642,23
3,0,9,7,0,4,1,1,0.6,0.5758,0.78,0.0,342
2,1,3,4,0,6,0,1,0.42,0.4242,0.77,0.4179,8
2,1,4,12,0,1,1,2,0.44,0.4394,0.47,0.1343,225
3,0,7,21,0,3,1,1,0.7,0.6667,0.79,0.194,241
3,1,6,11,0,4,1,1,0.8,0.697,0.31,0.194,211
2,0,6,22,0,1,1,1,0.66,0.6212,0.61,0.0896,173
2,0,5,10,0,0,0,1,0.58,0.5455,0.49,0.1343,244
2,1,4,22,0,6,0,1,0.48,0.4697,0.82,0.2985,110
1,1,1,18,0,2,1,1,0.14,0.0909,0.26,0.5224,224
3,1,9,11,0,3,1,1,0.66,0.6212,0.5,0.194,232
2,0,5,21,0,6,0,1,0.54,0.5152,0.49,0.2239,182
1,0,2,10,0,6,0,1,0.22,0.2121,0.41,0.2537,84
1,0,1,18,0,0,0,1,0.2,0.2121,0.4,0.1642,67
4,0,12,4,0,3,1,1,0.26,0.303,0.75,0.0,4
